user,text,latitude,longitude
Paulo_SoulTrain,"b""I'm at @LionsNightclub in S?o Paulo, SP https://t.co/Z3jm0UgueT""",-23.55283364,-46.63764383
kellyAlbernaz,"b'Camis?o PAI NOSSO\nMalha fria\nTam. P\nPre?o Pra Mocinha R$39,00  ? vista \nAceitamos Mercado Livre? https://t.co/O8QPX3bbdr'",-23.55,-46.6333
ValtinhoMF,b'Os Boys @rolderwangler @wagnergeyer @zaumoraes #poplinefaz11 em Cine Joia https://t.co/JWJUtcEri0',-23.55342585,-46.6359827
kellyAlbernaz,"b'Blusa M.OFFICER viscose na frente  e malha atr?s \nTam. 1 veste P/M \nPre?o Pra Mocinha R$45,00  ?? https://t.co/LmyvFvW5yn'",-23.55,-46.6333
Carol_Beluzzo,"b'??? em S?o Paulo, Brazil https://t.co/R8CHbAmtTW'",-23.55,-46.6333
kellyAlbernaz,"b'P?lo feminina LACOSTS\nTam. 38 \nPre?o Pra Mocinha R$69,00  ? vista \nAceitamos Mercado Livre? https://t.co/fVjB93rKoQ'",-23.55,-46.6333
vinil23,"b'Momento final da leitura de ?A Gl?ria e Seu Cortejo de Horrores?, de Fernanda Torres, onde ela? https://t.co/evkyynPVP3'",-23.55528715,-46.64159075
_jakilini,b'3 drinks em Cine Joia https://t.co/mG4ZTXQLSR',-23.55342585,-46.6359827
dominatrixbar,b'Hoje o Dominatrix Augusta abriu as portas com uma festa super animada e cheia de performances.? https://t.co/2hq5AUTyfR',-23.55383,-46.65802
kellyAlbernaz,"b'Pasta CORELLO couro  preto e detlahes laranjas.\nLind?ssima!\nPre?o Pra Mocinha R$199,00 ? vista? https://t.co/QqDN7xkymK'",-23.55,-46.6333
chiquinhosantos,b'N?ixxxx...na resenha e no samba!!! em Bar E Restaurante Esta??o Jo?o Mendes https://t.co/Rc0bRvyFdO',-23.552306,-46.6347373
carolaquino,"b'Obrigada Papai, te amo!\n\n#AbaPai\n#igscompropositos \n#Paideamor\n\n??? em S?o Paulo, Brazil https://t.co/3wF9f7z6Zl'",-23.55,-46.6333
chiquinhosantos,b'Uma onda com meu parceiro Danilo!! ???? em Bar E Restaurante Esta??o Jo?o Mendes https://t.co/qnZkefKZHo',-23.552306,-46.6347373
chiquinhosantos,b'Muito bom fazer um samba com vcs meus parceiros! em Bar E Restaurante Esta??o Jo?o Mendes https://t.co/wHCybrTsJf',-23.552306,-46.6347373
kellyAlbernaz,"b'Clutch  CORELLO azul Tiffany \nImpec?vel!\nPre?o Pra Mocinha R$149,00 ? vista \nAceitamos Mercado? https://t.co/BTHnl8GxKZ'",-23.55,-46.6333
toledoss,"b""I'm at S?o Paulo - @saopaulo_agora in S?o Paulo https://t.co/82xMIE0RyR""",-23.54914149,-46.63400143
kellyAlbernaz,b'Bolza MK  edi??o  limitada em couro  preta com animal print pelinhos \nDuas op??es  de al?a!\nTem? https://t.co/WZNdHrYpng',-23.55,-46.6333
AndreRossanez,b'E o Portal Me Gusta est? presente na festa do Portal Pop Line junto ao som do DJ Boss In? https://t.co/hs0Ae3O1Lj',-23.55342585,-46.6359827
marcelowho,"b""I'm at @Cine_Joia in S?o Paulo, SP https://t.co/a4qjzdjpP3""",-23.55350211,-46.63573071
manulittiery,b'Eu cresci com eles no teatro e hoje eles foram me assistir! Amo tanto e pra sempre!?? em? https://t.co/wAnjRi3Fo7',-23.54855631,-46.64645284
ValtinhoMF,"b""I'm at @Cine_Joia in S?o Paulo, SP https://t.co/aoqXcfoJuN""",-23.55350211,-46.63573071
CharlysLemes,b'Acabou de publicar um v?deo em TEX Bar https://t.co/TPnN6P4w6i',-23.55389824,-46.65556068
fabianoking,"b'Neste v?deo vou explicar uma pr?tica que muitos ""ESPERTINHOS"" tem realizado para ganhar? https://t.co/r2bnZV5hkf'",-23.55,-46.6333
thaysboschiero,b'Dinner time with my bff @raissa_rezende  ??? em F?RNO https://t.co/uiN3DttRLd',-23.54616,-46.64867
linedumelle,"b""I'm at Condominio Edif?cio Central Studium in S?o Paulo, SP https://t.co/fLSic1VuAB""",-23.55570607,-46.65220369
CharlysLemes,b'#waitingforaanswer #tex #indiesongs #charlys?charlys #charlysdiaries em TEX Bar https://t.co/1uwyekItbF',-23.55389824,-46.65556068
AndreRossanez,b'Clau arrasando como sempre na festa do Portal Pop Line... \n\n#Clau #PortalPopLine em Cine Joia https://t.co/yKwOeQkYoD',-23.55342585,-46.6359827
mikadssantos,"b'7 anos ?? (at @LabClubSp in S?o Paulo, SP w/ @philricelle @romani83) https://t.co/M5kaypU1v8'",-23.55168961,-46.65112254
carolaquino,b'Fruto do Esp?rito Santo. \n\n#frutifique \n#FrutodoEspirito \n#EspiritoSanto \n#igscompropositos? https://t.co/jPScTEEyA7',-23.55,-46.6333
chdovalle,"b'S?o Paulo em preto e branco - final da avenida Paulista, embaixo, t?nel de acesso para a avenida? https://t.co/hLCsOeo2pa'",-23.55763408,-46.66074872
mmcompositor,b'Bora acessar galera!! https://t.co/BbCvmr94Rd @rannierygomes tooooop!!!? https://t.co/d5j35xKEyL',-23.55,-46.6333
rosdrodrigues,b'#boanoitee #bomdiaaa #?Pois Deus revelou a sua gra?a para dar a salva??o a todos. Essa gra?a nos? https://t.co/FQyXxs7Zo7',-23.55,-46.6333
giordannaforte,"b""90's by @ptlbruno #Ch?DaAliceSP #Ch?DaAlice #DjGiordannaForte em Casa de Portugal - S?o Paulo https://t.co/oJQqUofmTE""",-23.5580668,-46.63734913
andredalpino,"b'Parab?ns \nParab?ns \nHoje ? o seu Dia\nQue Dia mais Feliz....\nMoz?o,? https://t.co/wU6qmPltuS'",-23.55,-46.6333
ShermannFenix,b'Livro A Arte de Argumentar\n\n#LeituraDoDia #IncentivoALeitura \n\nA presente obra traz a discuss?o? https://t.co/krYns4bYMt',-23.55,-46.6333
AndreRossanez,"b'Na festa do Portal Pop Line, Wanessa Camargo fez uma lista incr?vel de? https://t.co/y4ED3jBgjb'",-23.55342585,-46.6359827
